Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-19,243.9216766357422,24.88497543334961,46.20408630371094,26.3740234375,23.501096725463867,64.0952377319336,33.14059829711914,41.18529510498047,24.024585723876953,19.561111450195312,74.01787567138672,51.813133239746094
2018-06-20,244.3377685546875,24.80413818359375,46.777496337890625,26.490467071533203,23.440948486328125,64.13900756835938,33.21018600463867,41.22563171386719,24.28390121459961,19.576698303222656,74.17489624023438,52.05881118774414
2018-06-21,242.8060760498047,24.540359497070312,46.49081802368164,25.999977111816406,23.37220573425293,63.3337516784668,32.95500564575195,41.30628967285156,24.428808212280273,19.64295768737793,73.74749755859375,51.68798828125
2018-06-22,243.24876403808594,24.897747039794922,46.69425964355469,26.518709182739258,23.260498046875,63.55256271362305,32.848297119140625,41.64507293701172,24.64236068725586,19.77936553955078,74.07896423339844,51.599918365478516
2018-06-25,239.93740844726562,24.510583877563477,45.732444763183594,25.985857009887695,23.011306762695312,62.7473258972168,32.16627883911133,41.854774475097656,24.58135414123535,20.10674476623535,73.39859771728516,50.47817611694336
2018-06-26,240.46865844726562,24.60417938232422,45.80829620361328,26.314035415649414,22.933979034423828,62.98365783691406,32.29618835449219,41.677330017089844,24.711008071899414,20.130136489868164,73.17181396484375,50.839725494384766
2018-06-27,238.47657775878906,24.527597427368164,45.40876388549805,26.666915893554688,22.650415420532227,62.47599792480469,31.85542869567871,41.58860778808594,24.64236068725586,20.227563858032227,72.55252838134766,50.1815185546875
2018-06-28,239.8400421142578,24.621198654174805,45.8619270324707,26.63161849975586,22.848051071166992,62.563514709472656,32.245155334472656,41.58860778808594,24.886425018310547,20.21977424621582,72.6484603881836,50.57551574707031
2018-06-29,240.18540954589844,24.706289291381836,45.80643081665039,26.797483444213867,22.848051071166992,62.69480895996094,32.231224060058594,41.56440734863281,24.947431564331055,20.250947952270508,72.7967758178711,50.66359329223633
2018-07-02,240.6989288330078,24.57440185546875,46.09313201904297,26.402259826660156,22.95975685119629,62.83486557006836,32.51889419555664,41.322418212890625,24.80252456665039,20.395160675048828,73.0235366821289,50.73311233520508
2018-07-03,239.84898376464844,24.531850814819336,45.52899169921875,26.568111419677734,22.753524780273438,62.63356399536133,32.133792877197266,41.419219970703125,24.947431564331055,20.453624725341797,73.19799041748047,50.47817611694336
2018-07-05,241.8056182861328,24.74458122253418,46.22260284423828,26.539873123168945,22.805078506469727,62.939876556396484,32.58848571777344,41.99189758300781,25.275394439697266,20.562740325927734,73.95683288574219,50.72848129272461
2018-07-06,243.8508758544922,24.867961883544922,46.95321273803711,26.70220375061035,22.916790008544922,63.15870666503906,32.96893310546875,42.12096405029297,25.382165908813477,20.722536087036133,75.02094268798828,51.12711715698242
2018-07-09,246.0465545654297,25.08920669555664,47.22140884399414,27.100950241088867,23.440948486328125,64.33155822753906,33.21946716308594,41.95962905883789,25.145732879638672,20.08336067199707,75.57044219970703,51.73897171020508
2018-07-10,246.93191528320312,25.30193328857422,47.20199203491211,27.302095413208008,23.355018615722656,64.53282928466797,33.29833221435547,42.459739685058594,25.26776885986328,20.274337768554688,75.85829162597656,51.850215911865234
2018-07-11,245.12571716308594,24.87647247314453,47.138187408447266,26.723371505737305,23.243310928344727,63.47376251220703,33.16844177246094,42.322608947753906,25.191492080688477,20.457515716552734,75.25646209716797,51.72970199584961
2018-07-12,247.34812927246094,24.936037063598633,47.87803649902344,26.769248962402344,23.286279678344727,64.21775817871094,33.69270706176758,42.266151428222656,25.252511978149414,20.47310447692871,76.09381866455078,52.07270812988281
2018-07-13,247.54295349121094,24.923280715942383,47.80406188964844,26.910400390625,23.18316650390625,64.55036163330078,33.65559387207031,42.54038619995117,25.168615341186523,20.477001190185547,76.23336029052734,52.1885986328125
2018-07-16,247.321533203125,24.72330665588379,47.66532516479492,26.599864959716797,23.595611572265625,64.28779602050781,33.57670211791992,42.3387565612793,25.031333923339844,20.457515716552734,75.77108001708984,52.318389892578125
2018-07-17,248.3219757080078,25.04665184020996,47.6745719909668,26.494003295898438,23.621395111083984,64.5416259765625,33.82725143432617,42.701717376708984,24.863540649414062,20.441925048828125,76.18972778320312,52.3693733215332
2018-07-18,248.84437561035156,24.81265640258789,47.53584671020508,26.511642456054688,23.999467849731445,65.25057983398438,33.771583557128906,42.354881286621094,24.772014617919922,20.336698532104492,76.25080871582031,52.3369255065918
2018-07-19,247.90589904785156,24.90200424194336,47.202919006347656,26.518709182739258,23.63858413696289,65.22429656982422,33.650943756103516,42.37908172607422,25.008447647094727,20.523773193359375,75.82340240478516,52.21641159057617
2018-07-20,247.62257385253906,24.799888610839844,47.045692443847656,26.426956176757812,23.681541442871094,65.1542739868164,33.66022872924805,42.637184143066406,24.78727149963379,20.379566192626953,75.6751480102539,51.98463821411133
2018-07-23,248.0829620361328,24.663745880126953,47.239906311035156,26.310510635375977,24.00806999206543,64.75167083740234,33.8318977355957,42.371002197265625,24.7186336517334,20.23536491394043,75.83211517333984,51.929019927978516
2018-07-24,249.3313446044922,24.982837677001953,47.57285690307617,26.642208099365234,24.07681655883789,65.02299499511719,34.01747512817383,42.4516716003418,24.64999008178711,20.305517196655273,76.52119445800781,51.77606201171875
